#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	food_origin	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000234629.4|SAMN06671960|GCA_002258145.4|Klebsiella pneumoniae||WCHKP8F4|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002258145.4	Complete Genome	5365290	5501020	4	Unicycler v. 0.4.4	Microbe	PRJNA353728	West China Hospital, Sichuan University	SAMN06671960	"Klebsiella pneumoniae strain WCHKP8F4","SRS2809339","WCHKP8F4"	NULL	2015-04	clinical	13349798	China: Sichuan, Chengdu	Homo sapiens	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae strain WCHKP8F4	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	WCHKP8F4	NULL	NULL	NULL	PDT000234629.4	2019-08-23	573	NULL	NULL	NULL	NULL	NULL	0	0	0	0	16	15	NULL	"aadA2,blaCTX-M-65,blaKPC-2,blaSHV-11,blaTEM-1,catA2,emrD,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,rmtB1,sul1=PARTIAL"	"aadA2,blaCTX-M-65,blaKPC-2,blaSHV-11,blaTEM-1,catA2,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,rmtB1,sul1=PARTIAL"	11	"arsC=HMM,asr=HMM,fieF,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,qacEdelta1"	2	"ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000234630.1|SAMN06671959|GCA_002258155.1|Klebsiella pneumoniae||WCHKP1911|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002258155.1	Scaffold	242178	5412607	129	SPAdes v. 3.9.0	Microbe	PRJNA353728	West China Hospital, Sichuan University	SAMN06671959	"Klebsiella pneumoniae strain WCHKP1911","SRS3138939","WCHKP1911"	NULL	2016-05	clinical	4936848	China: Sichuan, Chengdu	Homo sapiens	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae strain WCHKP1911	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	WCHKP1911	NULL	NULL	NULL	PDT000234630.1	2017-08-18	573	NBYF	NBYF00000000.1	NULL	NULL	NULL	0	0	0	0	20	19	NULL	"aac(6')-Ib-cr5,aadA16,arr-3,blaNDM-1,blaSHV-11,ble,dfrA27,emrD,floR,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_G134AfsTer11=POINT,oqxA,oqxB,parC_S80I=POINT,qnrB1,ramR_A19V=POINT,sul1"	"aac(6')-Ib-cr5,aadA16,arr-3,blaNDM-1,blaSHV-11,ble,dfrA27,floR,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_G134AfsTer11=POINT,oqxA,oqxB,parC_S80I=POINT,qnrB1,ramR_A19V=POINT,sul1"	11	"arsC=HMM,asr=HMM,fieF,merA,merC=HMM,merD,merE,merP=HMM,merR,merT,qacEdelta1"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000234631.2|SAMN06671955|GCA_002258175.2|Klebsiella pneumoniae||WCHKP085031|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002258175.2	Complete Genome	5204756	5763518	5	Unicycler v. 0.4.7	Microbe	PRJNA353728	West China Hospital, Sichuan University	SAMN06671955	"Klebsiella pneumoniae strain WCHKP085031","SRS3138886","WCHKP085031"	NULL	2014-11	clinical	32588268	China: Sichuan, Chengdu	Homo sapiens	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae strain WCHKP085031	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	WCHKP085031	NULL	NULL	NULL	PDT000234631.2	2022-04-04	573	NULL	NULL	NULL	NULL	NULL	0	0	0	0	24	23	NULL	"aadA16,aadA2,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-14,blaNDM-1,blaSHV-1,blaTEM-1,ble,catA2,dfrA12,dfrA27,emrD,fosA,mph(A),mph(E),mrx(A),msr(E),oqxA,oqxB,sul1,sul2,tet(D)"	"aadA16,aadA2,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-14,blaNDM-1,blaSHV-1,blaTEM-1,ble,catA2,dfrA12,dfrA27,fosA,mph(A),mph(E),mrx(A),msr(E),oqxA,oqxB,sul1,sul2,tet(D)"	42	"arsA,arsB,arsC,arsC=HMM,arsD,arsD=HMM,arsR,asr=HMM,clpK,crcB,fieF,hsp20,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,merT=PARTIAL,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,qacE,qacEdelta1,silA,silB,silC,silE,silF,silP,silR,silS,terB,terC,terD"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000235656.1|SAMD00083913|GCA_002260725.1|Klebsiella pneumoniae||40B3|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002260725.1	Contig	5325729	5520764	2	HGAP v. 3	MIGS Cultured Bacterial/Archaeal	PRJDB5886	Hattori Laboratory, Department of Center for Omics and Bioinformatics, Graduate School of Frontier Sciences, The University of Tokyo	SAMD00083913	"40B3","40B3-Pac.fastq"	NULL	NULL	clinical	4942188	Japan	Homo sapiens	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	40B3	NULL	"Klebsiella pneumoniae isolated from the salivary microbiota of patients with IBD"	NULL	PDT000235656.1	2017-08-21	573	BDQU	BDQU00000000.1	NULL	NULL	NULL	0	0	0	0	5	4	NULL	"blaSHV-1,emrD,fosA,oqxA10,oqxB17"	"blaSHV-1,fosA,oqxA10,oqxB17"	16	"arsC=HMM,asr=HMM,fieF,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS"	11	"iroB,iroC,iroD,iroN,iucA,iucB,iucC,iutA,peg-344,rmpA,rmpD"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235657.1|SAMD00083911|GCA_002260885.1|Klebsiella pneumoniae||34E1|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002260885.1	Contig	5234391	5533083	4	HGAP v. 3	MIGS Cultured Bacterial/Archaeal	PRJDB5884	Hattori Laboratory, Department of Center for Omics and Bioinformatics, Graduate School of Frontier Sciences, The University of Tokyo	SAMD00083911	"34E1","34E1-Pac.fastq"	NULL	NULL	clinical	4942348	Japan	Homo sapiens	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	34E1	NULL	"Klebsiella Pneumoniae isolated from the salivary microbiota of patients with IBD"	NULL	PDT000235657.1	2017-08-21	573	BDQS	BDQS00000000.1	NULL	NULL	NULL	0	0	0	0	7	6	NULL	"blaSHV-1,emrD,fosA,fosA7=PARTIAL,ompK35_E132K=POINT,oqxA,oqxB"	"blaSHV-1,fosA,fosA7=PARTIAL,ompK35_E132K=POINT,oqxA,oqxB"	7	"arsC,arsC=HMM,asr=HMM,fieF,terD,terW,terZ"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000235658.1|SAMD00083910|GCA_002260905.1|Klebsiella pneumoniae||2H7|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002260905.1	Scaffold	206557	5546527	78	HGAP v. 3	MIGS Cultured Bacterial/Archaeal	PRJDB5883	Hattori Laboratory, Department of Center for Omics and Bioinformatics, Graduate School of Frontier Sciences, The University of Tokyo	SAMD00083910	"2H7","2H7-Pac.fastq"	NULL	NULL	clinical	4942368	Japan	Homo sapiens	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	2H7	NULL	"Klebsiella Pneumoniae isolated from the salivary microbiota of patients with IBD"	NULL	PDT000235658.1	2017-08-21	573	BDQR	BDQR00000000.1	NULL	NULL	NULL	0	0	0	0	8	7	NULL	"aadA1,blaSHV-1,emrD,fosA,fosA7=MISTRANSLATION,oqxA,oqxB19,sul1"	"aadA1,blaSHV-1,fosA,fosA7=MISTRANSLATION,oqxA,oqxB19,sul1"	31	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,crcB,fieF,merA=HMM,merD,merE,merF,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,qacEdelta1,silA,silB,silC,silE,silF,silR,silS=MISTRANSLATION"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000235659.1|SAMN07251855|GCA_002261545.1|Klebsiella pneumoniae||L96|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261545.1	Scaffold	176156	5592798	188	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251855	"L96"	NULL	2016-05-23	clinical	4942958	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L96	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L96	NULL	NULL	NULL	PDT000235659.1	2017-08-21	573	NLFI	NLFI00000000.1	NULL	NULL	NULL	0	0	0	0	25	24	NULL	"aadA1,aadA2,arr-2,blaCTX-M-65,blaKPC-2,blaOXA-10,blaSHV=PARTIAL_END_OF_CONTIG,blaTEM-1,catA2,cmlA5,dfrA14,emrD,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,rmtB1,sul1=PARTIAL"	"aadA1,aadA2,arr-2,blaCTX-M-65,blaKPC-2,blaOXA-10,blaSHV=PARTIAL_END_OF_CONTIG,blaTEM-1,catA2,cmlA5,dfrA14,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,rmtB1,sul1=PARTIAL"	11	"arsC=HMM,asr=HMM,fieF,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,qacEdelta1"	2	"ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235660.1|SAMN07251852|GCA_002261575.1|Klebsiella pneumoniae||L84|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261575.1	Contig	270652	5441867	77	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251852	"L84"	NULL	2016-05-04	clinical	4942998	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L84	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L84	NULL	NULL	NULL	PDT000235660.1	2017-08-21	573	NLFF	NLFF00000000.1	NULL	NULL	NULL	0	0	0	0	10	9	NULL	"aadA2,blaKPC-2,blaSHV-11,emrD,fosA,gyrA_S83I=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	"aadA2,blaKPC-2,blaSHV-11,fosA,gyrA_S83I=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	4	"arsC=HMM,asr=HMM,fieF,qacEdelta1"	2	"ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235661.1|SAMN07251853|GCA_002261585.1|Klebsiella pneumoniae||L86|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261585.1	Contig	319957	5482902	51	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251853	"L86"	NULL	2016-05-17	clinical	4943018	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L86	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L86	NULL	NULL	NULL	PDT000235661.1	2017-08-21	573	NLFG	NLFG00000000.1	NULL	NULL	NULL	0	0	0	0	6	5	NULL	"blaKPC-2,blaSHV-1,emrD,fosA,oqxA10,oqxB5"	"blaKPC-2,blaSHV-1,fosA,oqxA10,oqxB5"	18	"arsA,arsB,arsC,arsC=HMM,arsD,arsD=HMM,arsR,asr=HMM,clpK,fieF,hdeD-GI,hsp20,kefB-GI=MISTRANSLATION,psi-GI,shsP,trxLHR,yfdX1,yfdX2"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000235662.1|SAMN07251854|GCA_002261625.1|Klebsiella pneumoniae||L9|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261625.1	Contig	207426	5487690	75	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251854	"L9"	NULL	2016-02-19	clinical	4943048	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L9	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L9	NULL	NULL	NULL	PDT000235662.1	2017-08-21	573	NLFH	NLFH00000000.1	NULL	NULL	NULL	0	0	0	0	12	11	NULL	"aadA2,blaCTX-M-65,blaKPC-2,blaSHV-11,emrD,fosA,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,sul1=PARTIAL"	"aadA2,blaCTX-M-65,blaKPC-2,blaSHV-11,fosA,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,sul1=PARTIAL"	11	"arsC=HMM,asr=HMM,fieF,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,qacEdelta1"	2	"ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235664.1|SAMN07251850|GCA_002261685.1|Klebsiella pneumoniae||L8|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261685.1	Contig	270652	5424337	65	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251850	"L8"	NULL	2016-02-18	clinical	4943798	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L8	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L8	NULL	NULL	NULL	PDT000235664.1	2017-08-21	573	NLFD	NLFD00000000.1	NULL	NULL	NULL	0	0	0	0	10	9	NULL	"aadA2,blaKPC-2,blaSHV-11,emrD,fosA,gyrA_S83I=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	"aadA2,blaKPC-2,blaSHV-11,fosA,gyrA_S83I=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	4	"arsC=HMM,asr=HMM,fieF,qacEdelta1"	2	"ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235665.1|SAMN07251848|GCA_002261655.1|Klebsiella pneumoniae||L70|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261655.1	Scaffold	248226	5440890	129	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251848	"L70"	NULL	2016-04-15	clinical	4943808	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L70	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L70	NULL	NULL	NULL	PDT000235665.1	2017-08-21	573	NLFB	NLFB00000000.1	NULL	NULL	NULL	0	0	0	0	10	9	NULL	"aadA2,blaKPC-2,blaSHV-11,emrD,fosA,gyrA_S83I=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	"aadA2,blaKPC-2,blaSHV-11,fosA,gyrA_S83I=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	4	"arsC=HMM,asr=HMM,fieF,qacEdelta1"	2	"ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235666.1|SAMN07251847|GCA_002261675.1|Klebsiella pneumoniae||L69|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261675.1	Scaffold	153782	5969509	327	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251847	"L69"	NULL	2016-04-15	clinical	4943828	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L69	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L69	NULL	NULL	NULL	PDT000235666.1	2017-08-21	573	NLFA	NLFA00000000.1	NULL	NULL	NULL	0	0	0	0	18	17	NULL	"aadA16,aadA2,blaCTX-M-14,blaKPC-2,blaSHV-11,blaTEM-1,dfrA27,emrD,floR,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,rmtB1,sul1=PARTIAL_END_OF_CONTIG"	"aadA16,aadA2,blaCTX-M-14,blaKPC-2,blaSHV-11,blaTEM-1,dfrA27,floR,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,rmtB1,sul1=PARTIAL_END_OF_CONTIG"	29	"arsC=HMM,asr=HMM,fieF,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,qacEdelta1,silA,silB,silC,silF,silP,silR,silS=PARTIAL,terA,terB,terC,terD,terE"	8	"clbB,clbN,iucA,iucB,iucC,iutA,rmpA2=PARTIAL_END_OF_CONTIG,ybtQ=PARTIAL_END_OF_CONTIG"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235667.1|SAMN07251849|GCA_002261665.1|Klebsiella pneumoniae||L79|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261665.1	Scaffold	171002	5684475	176	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251849	"L79"	NULL	2016-04-28	clinical	4943838	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L79	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L79	NULL	NULL	NULL	PDT000235667.1	2017-08-21	573	NLFC	NLFC00000000.1	NULL	NULL	NULL	0	0	0	0	19	18	NULL	"aadA2,blaCTX-M-65,blaKPC-2,blaLAP-2,blaTEM-1,catA2,dfrA14,emrD,fosA,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,qnrS1,rmtB1,sul1=PARTIAL,sul2,tet(A)"	"aadA2,blaCTX-M-65,blaKPC-2,blaLAP-2,blaTEM-1,catA2,dfrA14,fosA,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,qnrS1,rmtB1,sul1=PARTIAL,sul2,tet(A)"	24	"arsC=HMM,asr=HMM,fieF,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,qacEdelta1,silA,silB,silC,silF,silP,silR,silS"	7	"iroN=PARTIAL,peg-344,rmpA,rmpC,rmpD,ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235668.1|SAMN07251845|GCA_002261735.1|Klebsiella pneumoniae||L61|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261735.1	Contig	176166	5717991	91	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251845	"L61"	NULL	2016-04-13	clinical	4944228	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L61	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L61	NULL	NULL	NULL	PDT000235668.1	2017-08-21	573	NLEY	NLEY00000000.1	NULL	NULL	NULL	0	0	0	0	16	15	NULL	"blaCTX-M-65,blaKPC-2,blaSHV-11,blaTEM-1,dfrA50,emrD,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,rmtB1"	"blaCTX-M-65,blaKPC-2,blaSHV-11,blaTEM-1,dfrA50,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,rmtB1"	28	"arsC=HMM,asr=HMM,fieF,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS,terA,terB,terC,terD,terE"	7	"iucA,iucB,iucC,iutA,rmpA2=PARTIAL,ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235669.1|SAMN07251844|GCA_002261745.1|Klebsiella pneumoniae||L60|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261745.1	Contig	152309	5528499	88	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251844	"L60"	NULL	2016-04-13	clinical	4944238	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L60	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L60	NULL	NULL	NULL	PDT000235669.1	2017-08-21	573	NLEX	NLEX00000000.1	NULL	NULL	NULL	0	0	0	0	16	15	NULL	"aac(6')-Ib3,arr-3,blaCTX-M-3,blaKPC-2,blaSHV-11,blaTEM-1,catA2,emrD,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,qnrS1"	"aac(6')-Ib3,arr-3,blaCTX-M-3,blaKPC-2,blaSHV-11,blaTEM-1,catA2,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,qnrS1"	10	"arsC=HMM,asr=HMM,fieF,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT"	2	"ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235670.1|SAMN07251843|GCA_002261775.1|Klebsiella pneumoniae||L58|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261775.1	Scaffold	176156	5557939	192	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251843	"L58"	NULL	2016-04-12	clinical	4944268	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L58	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L58	NULL	NULL	NULL	PDT000235670.1	2017-08-21	573	NLEW	NLEW00000000.1	NULL	NULL	NULL	0	0	0	0	16	15	NULL	"aac(6')-Ib3,arr-3,blaCTX-M-3,blaKPC-2,blaSHV-11,blaTEM-1,catA2,emrD,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,qnrS1"	"aac(6')-Ib3,arr-3,blaCTX-M-3,blaKPC-2,blaSHV-11,blaTEM-1,catA2,fosA,fosA3,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK35_N29TfsTer34=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,qnrS1"	10	"arsC=HMM,asr=HMM,fieF,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT"	2	"ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235671.1|SAMN07251846|GCA_002261785.1|Klebsiella pneumoniae||L63|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261785.1	Scaffold	203917	5441420	133	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251846	"L63"	NULL	2016-04-11	clinical	4944278	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L63	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L63	NULL	NULL	NULL	PDT000235671.1	2017-08-21	573	NLEZ	NLEZ00000000.1	NULL	NULL	NULL	0	0	0	0	10	9	NULL	"aadA2,blaKPC-2,blaSHV-11,emrD,fosA,gyrA_S83I=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	"aadA2,blaKPC-2,blaSHV-11,fosA,gyrA_S83I=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	4	"arsC=HMM,asr=HMM,fieF,qacEdelta1"	2	"ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000235672.1|SAMN07251839|GCA_002261815.1|Klebsiella pneumoniae||L528|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002261815.1	Contig	348530	5508450	64	SPAdes v. 3.10.0	MIGS Cultured Bacterial/Archaeal	PRJNA390758	Zhejiang University	SAMN07251839	"L528"	NULL	2017-01-18	clinical	4944308	China: Zhejiang, Hangzhou	Homo sapiens	NULL	feces	30.3 N 120.2 E	NULL	NULL	L528	Klebsiella pneumoniae	NULL	NULL	573	NULL	NULL	L528	NULL	NULL	NULL	PDT000235672.1	2017-08-22	573	NLES	NLES00000000.1	NULL	NULL	NULL	0	0	0	0	7	6	NULL	"blaKPC-2,blaSHV-11,emrD,fosA,oqxA,oqxB,ramR_A19V=POINT"	"blaKPC-2,blaSHV-11,fosA,oqxA,oqxB,ramR_A19V=POINT"	25	"arsA,arsB,arsC,arsC=HMM,arsD,arsD=HMM,arsR,asr=HMM,clpK,fieF,hsp20,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
